,Residual Oil,Diesel,Natural Gas,LPG,DME,FTD,Biodiesel,Renewable Diesel,Renewable Gasoline,Hydrogen
VOC,24.74699974060060,24.74699974060060,24.74699974060060,24.74699974060060,24.74699974060060,24.74699974060060,24.74699974060060,24.74699974060060,24.74699974060060,0.00000000000000
CO,219.99299621582000,219.99299621582000,109.99649810791000,109.99649810791000,219.99299621582000,219.99299621582000,219.99299621582000,219.99299621582000,219.99299621582000,0.00000000000000
NOx,1101.12194824219000,1101.12194824219000,1101.12194824219000,1101.12194824219000,550.56097412109400,1101.12194824219000,1101.12194824219000,1101.12194824219000,1101.12194824219000,1926.96340942383000
PM10,40.08800125122070,40.08800125122070,4.00880012512207,4.00880012512207,28.06160087585450,40.08800125122070,40.08800125122070,40.08800125122070,40.08800125122070,0.00000000000000
PM2.5,38.88499832153320,38.88499832153320,3.88849983215332,3.88849983215332,27.21949882507320,38.88499832153320,38.88499832153320,38.88499832153320,38.88499832153320,0.00000000000000
SOx,267.32686674640200,8.03769560140132,0.26856561546287,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
BC,5.83274974822998,5.83274974822998,0.58327497482300,0.58327497482300,4.08292482376099,5.83274974822998,5.83274974822998,5.83274974822998,5.83274974822998,0.00000000000000
OC,15.16514934539790,15.16514934539790,1.51651493453980,1.51651493453980,10.61560454177860,15.16514934539790,15.16514934539790,15.16514934539790,15.16514934539790,0.00000000000000
CH4,1.21260298728943,1.21260298728943,24.25205974578860,1.21260298728943,1.21260298728943,1.21260298728943,1.21260298728943,1.21260298728943,1.21260298728943,0.00000000000000
N2O,2.00000000000000,2.00000000000000,2.00000000000000,2.00000000000000,2.00000000000000,2.00000000000000,2.00000000000000,2.00000000000000,2.00000000000000,0.00000000000000
CO2,84655.06470264740000,77772.88672196030000,59096.00931179830000,67808.13346324520000,69491.89571465370000,75875.04142744790000,79566.85217575610000,76188.36053755680000,74726.22693594120000,0.00000000000000
